@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4536,'2019/02/13 20:52:20:397',8,0.007874,-0.023622,-0.007874,0.015748,-0.007874,-0.023622,-0.015748,-0.007874,-0.015748,0,-0.015748,-0.007874,0,0,0,-0.015748,-0.119751,-0.213074,-0.452087,0.857788,-0.489746,-0.724121,0.509766,4.3125,1.5,-2.6875,0,0
4537,'2019/02/13 20:52:20:426',8,0,-0.023622,0,-0.015748,-0.015748,-0.015748,-0.007874,0,0.015748,-0.031496,0.023622,-0.007874,-0.031496,-0.007874,0.007874,0,-0.119202,-0.213196,-0.45166,0.858093,-0.485352,-0.721191,0.506836,3.375,1,-2.8125,0,0
4538,'2019/02/13 20:52:20:450',8,-0.015748,0,0.015748,0,-0.015748,-0.023622,-0.023622,-0.007874,0,-0.023622,-0.03937,0,-0.023622,-0.007874,-0.015748,-0.015748,-0.118286,-0.212952,-0.451172,0.858521,-0.469727,-0.727539,0.508789,1.75,-0.0625,-2.6875,0,0
4539,'2019/02/13 20:52:20:485',8,-0.007874,0.007874,0.023622,0.023622,-0.007874,-0.007874,0,-0.023622,-0.007874,-0.007874,-0.047244,-0.015748,0,0.007874,0.015748,-0.007874,-0.117432,-0.212219,-0.450867,0.859009,-0.470215,-0.708496,0.505859,0.25,-1.0625,-3.3125,0,0
4540,'2019/02/13 20:52:20:514',8,0,-0.023622,0.007874,-0.015748,0,-0.015748,0,-0.007874,-0.015748,0.007874,-0.062992,-0.015748,-0.023622,-0.023622,-0.015748,-0.015748,-0.117065,-0.211853,-0.450806,0.859192,-0.486328,-0.706543,0.498535,0.5,-2.0625,-4.3125,0,0
4541,'2019/02/13 20:52:20:549',8,-0.015748,-0.023622,-0.070866,-0.015748,-0.007874,-0.007874,0.007874,0.015748,0,-0.007874,0.141732,0.023622,0.015748,-0.015748,-0.03937,-0.015748,-0.115723,-0.210144,-0.450806,0.859741,-0.471191,-0.695801,0.499023,-0.4375,-3.6875,-8.3125,0,0
4542,'2019/02/13 20:52:20:584',8,-0.015748,-0.007874,-0.015748,-0.03937,-0.015748,0.007874,-0.007874,0,-0.007874,-0.023622,0.023622,0,-0.023622,-0.007874,-0.015748,-0.015748,-0.113647,-0.207458,-0.451782,0.860229,-0.491211,-0.699707,0.507324,-2.0625,-5.4375,-12.25,0,0
4543,'2019/02/13 20:52:20:620',8,-0.007874,0,0,0,0.007874,0.007874,0.015748,0,0,-0.047244,-0.015748,-0.031496,0.007874,-0.031496,-0.015748,-0.015748,-0.112488,-0.205872,-0.452271,0.860474,-0.515625,-0.710938,0.512207,-2.875,-6.5625,-14.25,0,0
4544,'2019/02/13 20:52:20:650',8,-0.007874,-0.007874,-0.047244,-0.015748,0.007874,0.055118,0.023622,0,-0.007874,-0.047244,-0.007874,-0.023622,-0.007874,-0.031496,-0.007874,0,-0.10968,-0.20166,-0.454468,0.860718,-0.43457,-0.777344,0.520508,-3.25,-6.25,-13.5,0,0
4545,'2019/02/13 20:52:20:688',8,-0.007874,-0.007874,0.015748,0.007874,-0.015748,-0.023622,-0.015748,-0.007874,-0.007874,0.007874,-0.031496,-0.015748,0.023622,0,-0.007874,-0.015748,-0.106384,-0.197571,-0.45459,0.862,-0.400879,-0.800781,0.523438,5.75,-4.25,-9.1875,0,0
4546,'2019/02/13 20:52:20:719',8,0,0.015748,0.07874,0.031496,0.015748,0.007874,-0.007874,-0.015748,0,-0.031496,-0.062992,-0.023622,-0.007874,-0.007874,0,0,-0.104919,-0.196228,-0.454041,0.862732,-0.396973,-0.785156,0.51709,6.5625,-2.5,-7.5,0,0
4547,'2019/02/13 20:52:20:748',8,0,-0.015748,-0.062992,-0.007874,-0.007874,-0.007874,0.007874,0,-0.023622,-0.007874,0.086614,-0.015748,0,-0.015748,-0.015748,-0.007874,-0.102966,-0.194458,-0.454651,0.863037,-0.390137,-0.775879,0.505859,-0.6875,0.25,-3.6875,0,0
4548,'2019/02/13 20:52:20:786',8,0,-0.023622,-0.047244,-0.015748,0,0,-0.015748,0.007874,-0.015748,-0.015748,0.015748,-0.015748,-0.007874,0,-0.007874,-0.007874,-0.101868,-0.194031,-0.456299,0.862427,-0.415039,-0.76123,0.502441,-3.5,1.6875,-2.5,0,0
4549,'2019/02/13 20:52:20:831',8,-0.023622,-0.015748,-0.03937,-0.007874,-0.023622,-0.031496,-0.015748,-0.015748,0,0.015748,0.023622,-0.023622,-0.015748,0.015748,0.007874,-0.007874,-0.101318,-0.193848,-0.456787,0.862244,-0.42041,-0.757324,0.504883,-1.9375,1.3125,-3.0625,0,0
4550,'2019/02/13 20:52:20:847',8,0,-0.03937,0.03937,-0.007874,0,-0.03937,-0.007874,-0.007874,0.007874,0.015748,-0.007874,0.007874,0.015748,0.055118,0,0,-0.100403,-0.193542,-0.457458,0.862122,-0.427734,-0.743164,0.503906,-1.125,0.3125,-3.6875,0,0
4551,'2019/02/13 20:52:20:882',8,0,-0.015748,0.031496,0.007874,0.007874,0.007874,0,0,-0.023622,-0.015748,-0.031496,-0.015748,-0.031496,0,-0.015748,-0.007874,-0.09967,-0.192749,-0.458984,0.861511,-0.428223,-0.764648,0.510742,-5.1875,-0.5,-3.5,0,0
4552,'2019/02/13 20:52:20:920',8,0,-0.007874,0.03937,0.007874,0.023622,-0.031496,0,-0.007874,-0.015748,-0.023622,-0.094488,-0.03937,-0.023622,-0.007874,-0.007874,0,-0.099365,-0.192383,-0.459656,0.861267,-0.431641,-0.767578,0.516113,-3.9375,-0.5,-3.1875,0,0
4553,'2019/02/13 20:52:20:951',8,-0.007874,-0.03937,0.007874,0,0,0.007874,0,-0.007874,-0.007874,-0.015748,-0.047244,-0.015748,0,-0.023622,0,0.007874,-0.099121,-0.191711,-0.460632,0.860962,-0.437988,-0.769043,0.513184,-2.9375,-1.1875,-2,0,0
4554,'2019/02/13 20:52:20:991',8,-0.007874,-0.023622,0.007874,-0.015748,-0.015748,-0.03937,-0.015748,0,0,-0.031496,-0.031496,0,0.015748,0.070866,-0.015748,-0.015748,-0.099121,-0.19104,-0.460815,0.860962,-0.437012,-0.762207,0.519043,-1.9375,-1.5,-1.6875,0,0
